实习职位,实习薪资,工作地点,实习天数,实习月份
渠道运营实习生,100-150/天,上海,4天/周,5个月
见习C++系统开发工程师,200-250/天,深圳,4天/周,4个月
健康频道运营实习生,150-200/天,北京,4天/周,4个月
平面设计实习生,100-150/天,上海,3天/周,4个月
模型审核专员,100-150/天,东莞,5天/周,12个月
新媒体实习生,100-150/天,上海,3天/周,4个月
助理设计师,50-100/天,济南,5天/周,3个月
病毒/安全分析实习生,100-150/天,天津,3天/周,10个月
社运运营专员,100-150/天,北京,5天/周,10个月
曲库内容运营实习生,100-150/天,北京,4天/周,4个月
项目助理,100-150/天,深圳,4天/周,4个月
新媒体运营助理,100-150/天,杭州,5天/周,4个月
审核实习生,100-150/天,承德,5天/周,8个月
node.js实习生,面议,西安,5天/周,6个月
编辑实习生,100-150/天,北京,4天/周,6个月
系统支撑,150-200/天,汕头,5天/周,6个月
内容编辑（实习生）,150-200/天,北京,5天/周,3个月
房产经理助理,150-200/天,成都,6天/周,6个月
平面设计实习,150-200/天,北京,4天/周,10个月
Node.js 开发实习生,100-150/天,上海,3天/周,7个月
产品经理助理（B端）,150-200/天,上海,5天/周,2个月
商品运营助理实习,150-200/天,上海,5天/周,4个月
新闻编辑实习,150-200/天,北京,4天/周,6个月
众包管理实习生,100-150/天,北京,4天/周,11个月
平面设计师,200-250/天,上海,5天/周,12个月
服务管理实习生,面议,北京,5天/周,6个月
数据运营实习生,100-150/天,北京,2天/周,4个月
抖音运营实习生（像素蜜蜂Pxbee）,50-100/天,成都,4天/周,5个月
Android app开发实习生,150-200/天,上海,3天/周,7个月
技术支持工程师,100-150/天,上海,5天/周,4个月
运营实习生,50-100/天,郑州,5天/周,4个月
平面设计师,150-200/天,深圳,5天/周,4个月
社区内容实习生,100-150/天,北京,5天/周,4个月
Associate IT Business Analyst,100-150/天,上海,4天/周,5个月
水利水电实习生,100-150/天,北京,2天/周,4个月
新媒体运营/编辑助理,100-150/天,重庆,5天/周,6个月
商品文员,150-200/天,杭州,5天/周,4个月
Android实习生,1-2/天,杭州,5天/周,4个月
新媒体编辑实习生,100-150/天,广州,5天/周,4个月
编辑实习生,50-100/天,广州,3天/周,3个月
广告投放实习生,100-150/天,北京,5天/周,7个月
数据库实习生,100-150/天,昆明,3天/周,4个月
实习PHP研发工程师,50-100/天,成都,4天/周,9个月
国内亚马逊运营实习生,100-150/天,杭州,5天/周,4个月
文案实习生,50-100/天,武汉,4天/周,4个月
平面设计实习生,50-100/天,广州,5天/周,13个月
设计师助理,100-150/天,青岛,6天/周,10个月
运营活动实习生,150-200/天,北京,2天/周,4个月
网站编辑,100-200/天,郑州,5天/周,3个月
用户推广,100-150/天,南京,4天/周,6个月
新媒体推广运营实习生,80-120/天,广州,3天/周,5个月
情感心理学音频处理实习,面议,北京,2天/周,3个月
产品助理,面议,成都,5天/周,4个月
电竞编辑实习,50-100/天,广州,5天/周,10个月
通信运营,100-150/天,成都,6天/周,8个月
新媒体实习岗,面议,南昌,5天/周,4个月
软件测试实习生,150-200/天,上海,3天/周,12个月
运营实习生,150-200/天,上海,5天/周,5个月
设计实习生,150-200/天,全国,4天/周,4个月
项目管理助理,150-200/天,上海,3天/周,12个月
webgl开发工程师,100-150/天,杭州,5天/周,5个月
企业信息化咨询顾问,100-150/天,青岛,5天/周,4个月
财经编辑实习生,150-200/天,上海,3天/周,7个月
物联网方向实习生,50-100/天,深圳,6天/周,11个月
ios intern,面议,宁波,6天/周,4个月
市场助理,150-200/天,上海,5天/周,4个月
无线通信测试助理工程师,250-300/天,北京,5天/周,10个月
内容编辑实习生（编务）,50-100/天,杭州,5天/周,4个月
故障诊断实习生,100-150/天,上海,2天/周,4个月
社群运营实习生,面议,上海,5天/周,4个月
小程序开发程序员,150-200/天,上海,5天/周,12个月
电子商务专员,150-200/天,武汉,6天/周,9个月
NodeSpace加速器实习生,100-150/天,上海,5天/周,5个月
活动策划,150-200/天,北京,3天/周,4个月
设计助理,50-100/天,广州,3天/周,4个月
产品实习生,150-200/天,北京,3天/周,11个月
广告设计实习生,50-100/天,东莞,4天/周,4个月
产品实习,300-400/天,上海,3天/周,4个月
创意策划实习生,100-150/天,武汉,5天/周,4个月
市场公关部设计实习生,50-100/天,深圳,5天/周,4个月
短视频运营-百度视频,100-150/天,北京,4天/周,6个月
电商运营实习生,1-50/天,广州,4天/周,4个月
信息运营实习生,100-150/天,成都,5天/周,5个月
IT客服实习,100-150/天,南京,3天/周,12个月
国际化跨境电商文案运营实习生,100-150/天,广州,3天/周,4个月
热点运营实习生,100-150/天,北京,4天/周,4个月
美术学习实训,1-2/天,北京,5天/周,4个月
课程运营实习生,100-150/天,北京,5天/周,7个月
计算机类编辑实习生,100-150/天,北京,1天/周,7个月
机器学习/深度学习语音合成实习生,200-250/天,北京,4天/周,6个月
平面设计实习生,100-150/天,北京,5天/周,4个月
销售代表,100-150/天,杭州,5天/周,4个月
JAVA开发实习生,100-150/天,昆明,4天/周,7个月
运营实习生,100-150/天,南京,3天/周,5个月
互联网运营实习生,100-150/天,北京,5天/周,10个月
资源策划实习生,150-200/天,北京,4天/周,4个月
IOS开发工程师（19届补招）,500-800/天,杭州,5天/周,7个月
渗透测试实习生-西宁,150-200/天,西宁,5天/周,6个月
用户运营助理(实习生),100-150/天,上海,3天/周,10个月
开发工程师,100-150/天,广州,5天/周,4个月
美工实习生,150-200/天,上海,3天/周,8个月
别墅设计师实习助理,1-50/天,成都,6天/周,4个月
python实习生,150-200/天,深圳,5天/周,7个月
Java研发工程师,100-200/天,北京,4天/周,13个月
产品助理（实习生）,100-150/天,上海,4天/周,4个月
电商运营实习生,80-150/天,北京,4天/周,3个月
游戏前端开发,150-200/天,北京,4天/周,4个月
Software Development Engineer Intern,250-300/天,北京,3天/周,7个月
设计助理,面议,天津,6天/周,6个月
拉萨市场运营实习生,100-150/天,拉萨,1天/周,4个月
用户运营实习生,100-150/天,北京,3天/周,17个月
研发实习生（python，C++）,250-300/天,北京,4天/周,4个月
研发实习生,200-250/天,北京,4天/周,6个月
硬件交互实习工程师,100-200/天,广州,4天/周,0个月
项目服务实习生,50-100/天,成都,5天/周,4个月
JAVA实习生,100-150/天,福州,3天/周,7个月
实习编辑记者,1-50/天,长沙,5天/周,4个月
数据整理员,50-100/天,广州,3天/周,5个月
短视频新媒体运营,100-150/天,杭州,5天/周,4个月
PHP后台实习生,50-100/天,重庆,5天/周,5个月
英语客服,50-100/天,厦门,5天/周,5个月
LTE无线网优工程师助理实习,100-150/天,西安,5天/周,4个月
网络推广运营专员,100-150/天,天津,3天/周,12个月
产品运营（用户增长方向）,100-150/天,深圳,4天/周,5个月
硬件实习生,150-200/天,北京,5天/周,6个月
IT部门实习生,100-150/天,上海,4天/周,7个月
游戏开发实习生,100-150/天,北京,5天/周,4个月
动漫编辑,150-200/天,成都,5天/周,4个月
内容编辑实习生,100-150/天,北京,5天/周,10个月
算法工程师3-PhD博士,面议,北京,5天/周,12个月
语音算法工程师,150-200/天,杭州,5天/周,12个月
内容运营编辑（音频拆条）,100-150/天,上海,3天/周,7个月
医疗文案编辑,50-100/天,杭州,4天/周,4个月
web开发实习生,150-200/天,深圳,4天/周,7个月
游戏编辑,150-200/天,昆山,5天/周,4个月
内容运营实习生（影像器材方向）,100-150/天,北京,5天/周,5个月
医学信息部实习生（新媒体运营）,100-150/天,北京,4天/周,5个月
外教项目实习生,200-250/天,上海,3天/周,4个月
社区运营实习生,149-150/天,北京,4天/周,4个月
新媒体运营实习生,149-150/天,北京,3天/周,6个月
平面设计实习生,100-150/天,徐州,3天/周,10个月
前端开发工程师（19届补招）,500-800/天,杭州,5天/周,7个月
iOS App开发工程师,150-200/天,西安,4天/周,7个月
新媒体课程文案,100-150/天,广州,4天/周,4个月
ReactNative实习生,200-250/天,北京,4天/周,5个月
UI设计,50-100/天,成都,5天/周,4个月
跨境电商选品实习生,面议,杭州,5天/周,4个月
游戏测试,100-150/天,axure,5天/周,8个月
研究员助理,150-200/天,北京,4天/周,4个月
文案实习生（段子手）,100-150/天,广州,4天/周,3个月
机械工程师,面议,苏州,5天/周,12个月
客服专员,50-100/天,西安,5天/周,5个月
软件开发实习生,150-200/天,上海,3天/周,4个月
运维开发实习生,200-250/天,深圳,4天/周,5个月
数据运营实习生,100-150/天,上海,4天/周,5个月
游戏运营实习生,100-150/天,广州,6天/周,9个月
文案编辑/网站编辑/实习生,100-150/天,上海,3天/周,7个月
网页/美工助理实习生,100-150/天,重庆,5天/周,6个月
JAVA实习生,100-150/天,南宁,3天/周,7个月
PHP开发工程师,200-250/天,广州,5天/周,11个月
Android逆向分析师,400-500/天,南京,5天/周,10个月
内容运营,100-150/天,广州,6天/周,4个月
中国创客内容运营实习生,50-100/天,北京,3天/周,4个月
标识设计师实习生,100-150/天,上海,4天/周,12个月
编辑,150-200/天,北京,3天/周,5个月
媒介实习生,50-100/天,重庆,5天/周,4个月
PHP开发实习生,100-150/天,上海,3天/周,5个月
雷达回波仿真实习生,200-250/天,成都,5天/周,8个月
2D游戏美术,200-250/天,成都,5天/周,5个月
新媒体运营,200-250/天,北京,5天/周,4个月
内容运营实习生,100-150/天,广州,5天/周,7个月
网店美工设计运营,100-150/天,深圳,4天/周,4个月
社交媒体运营岗-主抖音方向,100-150/天,上海,4天/周,3个月
新媒体运营实习生,150-200/天,上海,3天/周,9个月
算法实习生（机器学习/数据挖掘）,250-300/天,北京,5天/周,4个月
Java开发工程师,100-150/天,北京,5天/周,8个月
基础设施开发实习生,150-200/天,上海,5天/周,2个月
栏目实习生,100-150/天,杭州,3天/周,9个月
推广专员,150-200/天,北京,5天/周,12个月
工程师（结构方向）,150-200/天,西安,5天/周,7个月
母婴品类编辑实习生,100-150/天,青岛,3天/周,12个月
部门助理,100-150/天,上海,5天/周,4个月
IT Technician信息技术员,150-200/天,上海,5天/周,4个月
运营部实习生,100-150/天,上海,5天/周,6个月
游戏测试,100-150/天,axure,5天/周,8个月
iOS实习生,200-250/天,杭州,5天/周,4个月
魔兽争霸社区运营,100-150/天,广州,3天/周,5个月
渠道监测助理,100-150/天,上海,5天/周,7个月
小程序编程开发,100-200/天,北京,3天/周,4个月
UED运营设计助理实习生,50-100/天,上海,3天/周,10个月
研发,150-200/天,上海,3天/周,4个月
跨境电子商务专员（合肥）,130-180/天,合肥,5天/周,12个月
IT工程师实习生,150-200/天,北京,3天/周,5个月
测试实习生（2020届）,100-150/天,成都,4天/周,12个月
招商运营专员,100-150/天,长沙,5天/周,5个月
后端研发工程师,150-200/天,广州,5天/周,4个月
电气工程实习生,100-150/天,北京,2天/周,4个月
室内设计实习生,100-150/天,北京,4天/周,6个月
用户运营实习生,100-150/天,上海,3天/周,7个月
助理研究员（实习）,100-150/天,北京,3天/周,4个月
语音算法工程师,150-200/天,北京,4天/周,7个月
日语系统软件开发实习生,100-150/天,大连,5天/周,12个月
【日语】用户运营实习生,120-160/天,北京,4天/周,4个月
Java工程师,150-250/天,上海,4天/周,10个月
电商网页设计师,150-200/天,上海,5天/周,10个月
英文网站运营和内容编辑,60-120/天,武汉,4天/周,12个月
软件UI工程师实习生,100-150/天,北京,4天/周,12个月
IT实习生,150-200/天,上海,3天/周,12个月
运营实习生,50-100/天,广州,4天/周,4个月
IT技术支持工程师（实习生）,200-250/天,上海,5天/周,5个月
售前技术支持实习工程师,200-250/天,北京,3天/周,4个月
平面设计师,100-150/天,上海,5天/周,5个月
韩语市场实习生,100-150/天,上海,3天/周,8个月
Extended Local Delivery Manager,150-200/天,北京,5天/周,8个月
B端产品运营组实习生,150-200/天,上海,5天/周,10个月
儿童频道运营,150-200/天,北京,5天/周,4个月
测试工程师实习生,100-150/天,厦门,3天/周,10个月
数据开发,100-150/天,广州,5天/周,4个月
珠宝设计,200-250/天,成都,6天/周,4个月
食品图书策划编辑,100-150/天,北京,4天/周,5个月
数码产品助理,面议,上海,5天/周,4个月
Graduate Intern in FID,250-300/天,上海,4天/周,8个月
南方医科大学课程助理,100-150/天,广州,4天/周,4个月
平面设计助理,100-150/天,广州,5天/周,4个月
文案策划,100-150/天,广州,3天/周,7个月
特效实习生,100-150/天,成都,5天/周,8个月
web前端工程师,150-200/天,广州,5天/周,4个月
游戏服务端开发工程师,250-300/天,广州,5天/周,4个月
新媒体运营实习生,100-150/天,广州,5天/周,4个月
图片审核实习生,150-200/天,北京,5天/周,4个月
互联网创新部实习生,面议,成都,5天/周,4个月
医美平台实习编辑,100-150/天,北京,4天/周,6个月
人工智能Python,100-150/天,重庆,5天/周,7个月
平面设计（实习）,100-150/天,上海,5天/周,9个月
博士研究实习生,300-400/天,深圳,5天/周,3个月
运维安装专业,100-150/天,大连,5天/周,4个月
病毒恶意代码分析师,200-250/天,北京,5天/周,10个月
智能应用平台开发实习生,200-250/天,上海,3天/周,4个月
平面设计助理,100-150/天,北京,5天/周,4个月
游戏运营助理,100-150/天,广州,5天/周,4个月
数字营销实习生,100-150/天,上海,3天/周,7个月
淘宝美工+美编,150-200/天,北京,3天/周,4个月
算法实习生,250-300/天,北京,4天/周,7个月
运营实习生,200-250/天,南京,5天/周,4个月
视制作频剪辑实习生,150-200/天,南昌,3天/周,4个月
气象文案助理（实习生,50-100/天,南京,4天/周,10个月
助理工程实习生,150-200/天,深圳,4天/周,6个月
数据标注实习,100-150/天,广州,5天/周,3个月
工程师（机械设计方向）,100-150/天,深圳,5天/周,5个月
项目助理/品牌专员/网络推广,100-120/天,苏州,4天/周,6个月
无线电管理与技术咨询工程师助理,50-100/天,成都,5天/周,10个月
法务实习生,100-150/天,北京,5天/周,4个月
图片运营实习生,100-150/天,北京,4天/周,4个月
平面设计实习生,100-150/天,南昌,4天/周,4个月
[通用AI方向] 雷达算法工程师（实习生）,150-200/天,深圳,5天/周,9个月
新媒体运营实习生（内容/用户方向）,150-200/天,北京,4天/周,4个月
客户运营实习生-企业金融业务方向,100-150/天,北京,5天/周,4个月
行政实习生,50-100/天,合肥,5天/周,10个月
配音CV,面议,杭州,5天/周,6个月
运营运维,100-150/天,广州,5天/周,4个月
新时代频道运营实习生,100-150/天,北京,4天/周,4个月
店铺运营实习生,150-200/天,德阳,5天/周,9个月
新媒体运营实习生,150-200/天,北京,3天/周,5个月
电商美工/视觉设计实习生,100-150/天,合肥,5天/周,10个月
产品运营实习生,100-150/天,广州,4天/周,9个月
新媒体运营,100-150/天,北京,3天/周,5个月
视觉广告设计,100-150/天,重庆,5天/周,5个月
视觉设计实习生,100-150/天,深圳,4天/周,4个月
韩国电商运营,100-150/天,北京,5天/周,6个月
运营经理助理,50-100/天,北京,5天/周,4个月
部门实习生,100-150/天,北京,4天/周,6个月
短视频制作,100-150/天,上海,4天/周,4个月
财经内容编辑,150-200/天,杭州,5天/周,4个月
自然语言处理研究实习生,200-250/天,深圳,4天/周,6个月
嵌入式软件工程师（实习生,200-250/天,苏州,4天/周,4个月
windows软件工程师,250-300/天,深圳,5天/周,5个月
公众号编辑实习生,100-150/天,上海,2天/周,9个月
前端开发实习生,100-150/天,杭州,5天/周,10个月
用户运营实习生,100-150/天,北京,4天/周,4个月
数据实习生（运营）,50-100/天,广州,3天/周,5个月
后期制作实习生,1-50/天,北京,5天/周,4个月
活动运营实习生,100-150/天,北京,4天/周,3个月
文案策划实习生,100-150/天,北京,3天/周,4个月
算法实习生-S0286,200-250/天,北京,5天/周,4个月
用户运营实习生（2020届）,100-150/天,成都,4天/周,6个月
平台产品经理实习生,面议,北京,3天/周,9个月
市场部门设计实习生,100-150/天,上海,3天/周,4个月
SocialBeta 内容运营,100-150/天,杭州,3天/周,4个月
JavaScript/H5编程讲师/助教,100-150/天,东莞,5天/周,4个月
意大利语内容运营实习生,150-200/天,北京,3天/周,4个月
广告产品运营实习生,150-200/天,上海,4天/周,4个月
需求实施实习生,100-150/天,深圳,3天/周,7个月
UI实习生,300-400/天,上海,5天/周,4个月
结构实习生,100-150/天,合肥,5天/周,5个月
电话营销,150-200/天,成都,6天/周,13个月
渠道内容运营实习生,50-100/天,杭州,3天/周,5个月
产品引进,100-150/天,北京,5天/周,4个月
IT Intern,100-150/天,上海,4天/周,6个月
游戏UI美术实习生,面议,北京,4天/周,3个月
Web-JS开发实习,150-300/天,北京,5天/周,11个月
产品经理助理（2019应届生优先）,150-200/天,广州,5天/周,4个月
JavaScript/H5编程讲师/助教,100-150/天,佛山,5天/周,4个月
结算实习生,150-200/天,北京,4天/周,6个月
储备保养站长实习生,150-200/天,厦门,4天/周,2个月
解决方案工程师实习岗,120-150/天,上海,4天/周,10个月
手机运维实习生,100-150/天,北京,5天/周,4个月
美工/平面设计,100-150/天,上海,4天/周,3个月
平面设计师,100-150/天,北京,5天/周,11个月
内容运营实习生（趣味数学方向）,150-200/天,深圳,3天/周,4个月
Web前端实习生,100-200/天,上海,5天/周,10个月
H5工程师,150-200/天,上海,3天/周,7个月
内容运营（实习生）,100-150/天,北京,3天/周,4个月
.Net开发实习生,150-200/天,深圳,5天/周,4个月
运营助理,100-150/天,广州,5天/周,3个月
服务器开发实习,250-300/天,上海,4天/周,4个月
嵌入式开发工程师,150-200/天,西安,4天/周,10个月
新媒体实习生,100-150/天,北京,5天/周,9个月
Android工程师实习生,100-200/天,北京,4天/周,0个月
亚马逊日本站运营实习生,100-150/天,深圳,4天/周,4个月
图书整理员（工程管理类）,100-150/天,北京,1天/周,4个月
UI设计实习生,150-200/天,北京,5天/周,4个月
工程师（工艺）,150-200/天,深圳,5天/周,9个月
空间设计助理,面议,深圳,5天/周,12个月
运营推广实习（知识付费方向）,50-100/天,广州,5天/周,4个月
电商运营实习生,100-150/天,杭州,5天/周,4个月
新媒体审核实习生,100-150/天,西安,5天/周,5个月
算法工程师,面议,北京,5天/周,4个月
软件开发助理,100-150/天,大连,4天/周,4个月
执行数值策划实习生,200-250/天,广州,5天/周,5个月
新媒体运营专员,100-150/天,天津,5天/周,4个月
公众号抖音微博（偏母婴育儿领域）内容策划,50-100/天,武汉,3天/周,9个月
助理漫画运营,60-80/天,北京,5天/周,6个月
公关实习生,100-150/天,北京,5天/周,3个月
商业运营实习生,50-100/天,北京,4天/周,6个月
社会学编辑实习生,100-150/天,北京,2天/周,4个月
新媒体运营实习,50-100/天,深圳,5天/周,10个月
用户运营实习生,150-200/天,上海,4天/周,10个月
Python开发实习生,100-150/天,杭州,4天/周,4个月
资料编辑实习生,100-200/天,南京,5天/周,9个月
标识设计师,100-150/天,上海,5天/周,4个月
英文运营实习生,80-150/天,北京,4天/周,3个月
新闻视频审核,100-150/天,福州,5天/周,10个月
社群运营实习生,100-150/天,广州,4天/周,4个月
内容审核实习生,100-150/天,武汉,4天/周,10个月
客服助理实习生,100-200/天,上海,2天/周,9个月
技术实习生,面议,北京,3天/周,6个月
数据标注实习生,面议,萍乡,4天/周,10个月
视觉设计实习生-杭州,100-150/天,杭州,4天/周,8个月
广告学编辑实习生,100-150/天,北京,4天/周,4个月
运营实习生,150-200/天,深圳,5天/周,4个月
品牌营销／新媒体文案实习生,100-150/天,上海,4天/周,9个月
策划编辑实习生,50-100/天,杭州,4天/周,4个月
活动运营实习生（上海）,100-150/天,上海,5天/周,5个月
楼宇能效分析工程师,100-150/天,上海,5天/周,7个月
产品运营实习生,100-150/天,北京,4天/周,10个月
实习新媒体,50-100/天,长沙,6天/周,3个月
渗透测试实习生-兰州,150-200/天,兰州,5天/周,7个月
平面设计,100-150/天,成都,5天/周,10个月
固件工程师,面议,苏州,5天/周,12个月
SEO编辑实习生,100-150/天,杭州,3天/周,4个月
运营实习生,100-150/天,北京,4天/周,10个月
售后服务储备,150-200/天,重庆,5天/周,2个月
电商新媒体实习生,150-200/天,杭州,4天/周,4个月
海外运营（越南语）,150-200/天,深圳,6天/周,4个月
社会工作图书编辑实习,110-150/天,北京,1天/周,3个月
Python工程师,150-200/天,济南,5天/周,4个月
IOS开发实习生,150-200/天,苏州,5天/周,12个月
有道数学产品教研实习生,100-150/天,北京,4天/周,3个月
广西方言语音识别标注,1-50/天,南京,3天/周,4个月
内容运营实习生,1-2/天,上海,5天/周,4个月
iOS开发实习生,150-200/天,上海,5天/周,2个月
数据库研发工程师,150-200/天,北京,3天/周,7个月
运营助理,100-150/天,深圳,5天/周,3个月
运营助理,100-150/天,重庆,6天/周,3个月
流程管理实习生,100-150/天,杭州,5天/周,4个月
游戏视频编辑实习生,100-160/天,深圳,5天/周,5个月
视频编辑实习生,50-100/天,杭州,4天/周,11个月
实习生 - 软件,100-150/天,上海,3天/周,7个月
软件工程实习生,250-300/天,上海,5天/周,5个月
数学教研实习生,50-100/天,杭州,3天/周,4个月
产品实习生（金融方向）,200-250/天,北京,5天/周,9个月
网络编辑,150-200/天,昆山,5天/周,5个月
平面设计师,100-150/天,北京,4天/周,4个月
内容运营实习-百度视频,100-150/天,北京,5天/周,6个月
IOS开发实习生,80-115/天,重庆,4天/周,5个月
设计实习生,150-200/天,上海,4天/周,4个月
新媒体运营官,面议,广州,3天/周,4个月
运营实习生,80-120/天,上海,4天/周,3个月
用户运营实习,200-250/天,北京,5天/周,4个月
文案实习生,150-200/天,上海,4天/周,4个月
行管、工管实习生,120-160/天,北京,2天/周,3个月
新媒体运营实习生,100-150/天,杭州,5天/周,4个月
数据研发实习生,150-200/天,北京,5天/周,5个月
Technical support engineer,150-200/天,北京,3天/周,8个月
EDC数据运营实习生,150-200/天,天津,4天/周,4个月
内容编辑实习生,100-150/天,北京,4天/周,11个月
网络运营,50-100/天,成都,5天/周,4个月
运营实习生,100-150/天,北京,4天/周,4个月
网页设计,50-100/天,武汉,6天/周,7个月
编辑实习生,50-100/天,郑州,5天/周,4个月
产品实习生,100-150/天,宁波,3天/周,12个月
测试实习生,面议,北京,5天/周,3个月
运营实习生,150-200/天,北京,4天/周,4个月
新媒体运营,200-250/天,北京,5天/周,4个月
腾讯视频星座频道—短视频运营实习生,50-100/天,北京,5天/周,6个月
社群运营实习,200-250/天,北京,5天/周,4个月
开发/测试开发实习生,面议,成都,3天/周,12个月
科技视频媒体编导,100-150/天,北京,5天/周,4个月
产品实习生,100-150/天,杭州,5天/周,4个月
新媒体运营实习生,100-150/天,北京,3天/周,5个月
社群运营,250-300/天,北京,5天/周,4个月
新媒体运营实习生,100-150/天,广州,5天/周,3个月
平面设计师,50-100/天,广州,6天/周,4个月
运营实习生,50-100/天,北京,4天/周,4个月
安全分析与评估,100-150/天,长沙,5天/周,9个月
出版审核总监实习生,70-120/天,郑州,3天/周,3个月
运营实习生,100-150/天,上海,5天/周,4个月
ios实习生,150-200/天,北京,5天/周,4个月
运营实习生,100-150/天,广州,4天/周,4个月
社群/新媒体运营实习生,100-150/天,南昌,4天/周,6个月
设计师,200-250/天,上海,4天/周,10个月
数据标注实习生,100-150/天,武汉,5天/周,4个月
视频设计实习生,150-200/天,广州,4天/周,7个月
电竞赛事项目助理,100-150/天,北京,4天/周,8个月
运营编辑,100-150/天,北京,5天/周,4个月
开发实习生,面议,北京,4天/周,4个月
平面设计/完稿,100-150/天,上海,5天/周,5个月
企业管理实习生,100-150/天,北京,2天/周,4个月
平面设计师,50-100/天,沈阳,5天/周,4个月
青年投资家俱乐部高校理事,1-50/天,全国,3天/周,12个月
美编实习生,150-200/天,北京,4天/周,4个月
平面设计实习生,100-150/天,广州,5天/周,5个月
计算机视觉方向研究实习生,200-250/天,北京,4天/周,6个月
Dota2自走棋运营,100-150/天,北京,3天/周,5个月
项目管理实习生 (MJ000098),面议,上海,5天/周,4个月
英语文案编辑实习生,100-150/天,成都,4天/周,9个月
有道词典图片编辑实习生,50-100/天,广州,3天/周,6个月
电商视觉设计实习生,150-200/天,上海,4天/周,4个月
运营实习生（偏财务）,150-200/天,北京,5天/周,4个月
ios开发工程师,150-200/天,北京,5天/周,4个月
设计实习生,100-150/天,上海,3天/周,9个月
平面设计师,100-150/天,北京,5天/周,4个月
嵌入式软件测试实习生,200-250/天,北京,5天/周,7个月
软件工程师实习生,250-300/天,苏州,2天/周,7个月
数据录入专员,50-100/天,南京,3天/周,10个月
理工类专业编辑助理,100-150/天,武汉,2天/周,3个月
后期制作,100-150/天,上海,5天/周,12个月
电商运营实习生,100-150/天,成都,5天/周,4个月
电商运营实习生,100-150/天,上海,3天/周,10个月
IT运营实习生,100-150/天,北京,4天/周,5个月
新媒体运营,100-150/天,广州,4天/周,12个月
文案策划推广,100-150/天,深圳,5天/周,4个月
海外互联网营销实习生,150-200/天,杭州,4天/周,7个月
海外游戏运营实习生,100-150/天,广州,5天/周,5个月
平面设计,100-150/天,上海,4天/周,4个月
公众号运营编辑实习生,50-100/天,北京,5天/周,4个月
前端工程师,50-100/天,南京,3天/周,10个月
网络推广专员,100-150/天,成都,6天/周,4个月
活动运营实习生,面议,上海,4天/周,9个月
电商运营,100-150/天,上海,5天/周,4个月
前端开发管培生,100-150/天,上海,4天/周,4个月
数据库工程师实习生,100-150/天,重庆,5天/周,7个月
助理材料工程师（金属材料）Material Engineering Intern(metallic material),150-200/天,上海,3天/周,5个月
档案整理（甘孜州档案局）,100-150/天,甘孜,6天/周,7个月
教辅图书实习编辑,200-250/天,西安,6天/周,4个月
催收实习生,100-150/天,合肥,4天/周,4个月
HR实习生—新业务,150-200/天,北京,4天/周,9个月
后端研发工程师,150-200/天,广州,5天/周,4个月
CUBA视频制作实习生,50-100/天,上海,4天/周,4个月
量化策略研究员,150-200/天,北京,5天/周,10个月
游戏策划实习生,200-250/天,北京,4天/周,4个月
Java开发（实习生）,100-150/天,西安,5天/周,5个月
动画实习生,100-150/天,北京,4天/周,4个月
OA流程实习生,150-200/天,北京,5天/周,3个月
新媒体运营实习生,100-150/天,北京,5天/周,5个月
销售顾问,100-150/天,成都,6天/周,6个月
新媒体运营,面议,长沙,5天/周,10个月
腾讯视频星座频道—视频运营实习生,50-100/天,北京,5天/周,6个月
海外内容运营,50-100/天,厦门,5天/周,7个月
运营专员（南京分校）,50-100/天,南京,5天/周,9个月
Software development engineer,100-150/天,上海,3天/周,7个月
现场开发工程师（java实习生,150-200/天,西安,4天/周,6个月
PHP后台开发工程师,180-300/天,武汉,5天/周,7个月
运营实习生,100-150/天,上海,4天/周,4个月
政治学实习生,100-150/天,北京,2天/周,4个月
产品开发实习生,100-150/天,深圳,5天/周,4个月
美术设计实习生,100-150/天,上海,3天/周,4个月
eBay Software Development Engineer Intern,面议,上海,3天/周,5个月
西班牙语运营实习生,100-150/天,南京,4天/周,5个月
平面设计实习生,150-200/天,上海,3天/周,4个月
雅思用户运营实习生,200-250/天,上海,3天/周,4个月
数据标注实习生,100-150/天,上海,5天/周,4个月
游戏内容运营实习生,100-150/天,广州,4天/周,9个月
用户运营实习生,100-150/天,北京,4天/周,7个月
活动运营实习生（游戏宝贝） (MJ001529),面议,广州,4天/周,4个月
实习iOS研发工程师,100-150/天,上海,4天/周,5个月
游戏测试,100-150/天,深圳,5天/周,4个月
内容运营实习,200-250/天,北京,5天/周,4个月
软件工程师,200-250/天,北京,3天/周,4个月
管培生,150-200/天,佛山,5天/周,2个月
航天测运控装备健康管理技术,200-250/天,成都,5天/周,8个月
城市规划实习生,100-150/天,北京,2天/周,4个月
QA实习生,300-400/天,上海,5天/周,3个月
运营助理,100-150/天,广州,6天/周,11个月
IT项目实习生IT Project Intern,100-150/天,上海,3天/周,4个月
运维实习生,150-200/天,深圳,5天/周,4个月
产品运营实习生,100-150/天,上海,3天/周,7个月
英语实习编辑,150-200/天,武汉,4天/周,4个月
数据校验审核专员,100-150/天,北京,4天/周,4个月
新媒体运营,100-150/天,深圳,6天/周,4个月
OA运维实习生,50-100/天,武汉,5天/周,10个月
大数据研究,面议,北京,5天/周,4个月
APP运营实习生,100-150/天,广州,3天/周,8个月
社区运营专员,200-250/天,上海,5天/周,4个月
新媒体实习生,50-100/天,广州,3天/周,3个月
